horizon_step,RMSE,MAE,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples
1,60.54800200781145,45.84063987500796,0.7333030543885546,0.16333921455027156,170.64864252692266,0.21669694561144537,8291.12389664074,33.66020369036565,44035
2,61.261693277548744,46.49804362970456,0.7128874758714658,0.1634333020913475,170.74694048438198,0.23711252412853412,23023.78278401941,34.21133314563525,44035
3,64.02571049553352,47.73125557035162,0.7057794935846485,0.16393247272427677,171.2684489974064,0.24422050641535142,32949.44211147535,35.28992665492337,44035
4,67.81208767868445,49.68273533172037,0.7037129556034972,0.1647302164401158,172.10189173537435,0.24628704439650273,36713.89275459992,36.69827527681464,44035
5,71.02609366732582,51.25733794723069,0.7043715226524355,0.1657482143949526,173.1654450870076,0.24562847734756443,35744.19229364776,37.80743413201252,44035
6,73.9223312000289,53.367810463779264,0.6900647212444646,0.16586141021147058,173.28370641501573,0.25993527875553535,73142.39874988903,39.39669534858927,44035
7,76.1086799104213,55.20190340846643,0.6793005563756103,0.1659767748778295,173.40423364887027,0.2706994436243897,125375.19671456152,40.58110588666192,44035
8,77.53971714748089,56.539106854573,0.6619280118087885,0.16717119804243052,174.65210723638006,0.2880719881912115,300999.26782899926,41.53330619128551,44035
9,78.63608232606164,57.378750255595236,0.6585897581469285,0.1673519819965939,174.8409812704176,0.2914102418530714,356060.7191461821,42.1429339185252,44035
10,79.0922877065073,57.505269279913605,0.655910071534007,0.16740806929797536,174.8995784778922,0.2940899284659929,407247.307887163,42.413781729415774,44035
11,79.0362186110784,57.11021591595167,0.6518678324060406,0.16784630844676723,175.3574288235633,0.29813216759395933,499769.44775834173,42.295953444593344,44035
12,79.79714619215723,58.10113539766781,0.6342000681276257,0.16610053441383002,173.53353142268656,0.3157999318723742,1196408.4726567229,43.10374154793154,44035
13,80.09642879139484,58.23013390728659,0.6374020665379811,0.16617528987097888,173.61163218568495,0.3125979334620188,1019869.0058282429,43.24390985485777,44035
14,80.07217329356065,57.76019747621925,0.6529124560009084,0.16642786510413585,173.87551015762716,0.29708754399909154,470327.36276566447,42.7193687164661,44035
15,79.52431379355204,56.59782445560261,0.6846372203928693,0.168535434225287,176.07739297276345,0.2653627796071306,97492.57009208454,41.85989373799844,44035
16,79.19833043609694,56.18965982336907,0.6855001703190644,0.16885177697196896,176.40789205372909,0.26449982968093555,93550.74363470016,41.60998590983181,44035
17,79.08966377809793,56.001794444761046,0.6785738617009197,0.16828984412282386,175.82081271603346,0.27142613829908024,131826.33192167568,41.55823856878594,44035
18,79.29366060420521,55.91371946325421,0.6741682752356081,0.16763880101751105,175.14063543922924,0.2758317247643919,163675.92002716244,41.689945040522666,44035
19,79.76375392554662,56.379438079469075,0.664857499716135,0.16683744390811497,174.30341760838405,0.285142500283865,259468.43250319682,41.8554025621868,44035
20,80.29903127026436,56.9384764513518,0.6717383899171114,0.16630890526569764,173.751226867784,0.2782616100828885,183353.83074761057,41.86460032619334,44035
21,81.27772291668293,57.52612731564892,0.6796639037129556,0.16535424430927567,172.7538448445178,0.27033609628704436,122656.24813800315,41.98059559231365,44035
22,82.63741739743988,58.33935318839749,0.6826388100374702,0.1640921990455069,171.43532306967856,0.2673611899625298,104897.00496264502,42.50998962095483,44035
23,84.38876557175682,59.46939131095659,0.6695810151016237,0.16166696765244346,168.9015625996074,0.28041898489837624,198537.49327320905,43.4785263515627,44035
24,85.47802866506379,59.68962064467628,0.6656069035994095,0.1608459157020175,168.0437685838222,0.2843930964005904,240950.56573237,43.900465025867575,44035
